feature,count,mean,std,min,25%,50%,75%,max,missing_count
ID,10010.0,5005.498901098901,2889.7805295369385,1.0,2503.25,5005.5,7507.75,10008.0,0
Age,10009.0,34.9606354281147,11.220629528429157,5.0,26.0,34.0,43.0,150.0,1
Coffee_Intake,10009.0,2.5102407832950346,1.457076379161867,-5.0,1.5,2.5,3.5,15.0,1
Caffeine_mg,10008.0,238.53580135891286,138.3202166590325,-100.0,138.8,235.45,331.92499999999995,1500.0,2
Sleep_Hours,10008.0,6.637160271782574,1.2298634942717124,2.0,5.8,6.6,7.5,20.0,2
BMI,10009.0,23.98838045758817,3.9196034533784614,10.0,21.3,24.0,26.6,55.0,1
Heart_Rate,10009.0,70.62653611749425,9.888264609077572,30.0,64.0,71.0,77.0,180.0,1
Physical_Activity_Hours,10009.0,7.490848236587071,4.319169594847589,0.0,3.8,7.5,11.2,25.0,1
Smoking,10009.0,0.2004196223398941,0.4003343723325297,0.0,0.0,0.0,0.0,1.0,1
Alcohol_Consumption,10009.0,0.3007293435907683,0.4585981005247785,0.0,0.0,0.0,1.0,1.0,1
